"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:26:57:414 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"[run number]","initial-density","wrap?","update-1d?","[step]","count patches with [living?] / count patches"
"4","5","true","false","88","0.019513601845621457"
"5","5","true","false","96","0.003556666346246275"
"6","5","true","false","104","0.004037296933576853"
"2","5","true","false","78","0.010958377391137171"
"4","5","true","false","89","0.01489954820724791"
"1","5","true","false","88","0.012111890800730558"
"3","5","true","false","80","0.003845044698644622"
"5","5","true","false","97","0.003556666346246275"
"6","5","true","false","105","0.004037296933576853"
"2","5","true","false","79","0.011919638565798328"
"4","5","true","false","90","0.016629818321637988"
"1","5","true","false","89","0.012880899740459483"
"5","5","true","false","98","0.003556666346246275"
"3","5","true","false","81","0.003845044698644622"
"6","5","true","false","106","0.004037296933576853"
"2","5","true","false","80","0.011246755743535519"
"1","5","true","false","90","0.012400269153128906"
"4","5","true","false","91","0.016245313851773528"
"3","5","true","false","82","0.003845044698644622"
"6","5","true","false","107","0.004037296933576853"
"5","5","true","false","99","0.003556666346246275"
"2","5","true","false","81","0.010862251273671056"
"1","5","true","false","91","0.013073151975391713"
"4","5","true","false","92","0.017783331731231377"
"5","5","true","false","100","0.003556666346246275"
"6","5","true","false","108","0.004037296933576853"
"3","5","true","false","83","0.003845044698644622"
"2","5","true","false","82","0.010958377391137171"
"5","5","true","false","101","0.003556666346246275"
"4","5","true","false","93","0.016437566086705758"
"1","5","true","false","92","0.01316927809285783"
"3","5","true","false","84","0.003845044698644622"
"6","5","true","false","109","0.004037296933576853"
"5","5","true","false","102","0.003556666346246275"
"2","5","true","false","83","0.010766125156204941"
"1","5","true","false","93","0.012592521388061136"
"3","5","true","false","85","0.003845044698644622"
"4","5","true","false","94","0.015860809381909063"
"6","5","true","false","110","0.004037296933576853"
"5","5","true","false","103","0.003556666346246275"
"2","5","true","false","84","0.011150629626069403"
"4","5","true","false","95","0.01528405267711237"
"5","5","true","false","104","0.003556666346246275"
"6","5","true","false","111","0.004037296933576853"
"3","5","true","false","86","0.003845044698644622"
"1","5","true","false","94","0.013649908680188408"
"3","5","true","false","87","0.003845044698644622"
"4","5","true","false","96","0.01528405267711237"
"2","5","true","false","85","0.011631260213399981"
"4","5","true","false","97","0.018167836201095838"
"3","5","true","false","88","0.003845044698644622"
"6","5","true","false","112","0.004037296933576853"
"5","5","true","false","105","0.003556666346246275"
"1","5","true","false","95","0.012688647505527251"
"2","5","true","false","86","0.011535134095933866"
"4","5","true","false","98","0.01528405267711237"
"3","5","true","false","89","0.003845044698644622"
"6","5","true","false","113","0.004037296933576853"
"5","5","true","false","106","0.003556666346246275"
"1","5","true","false","96","0.013073151975391713"
"4","5","true","false","99","0.017014322791502452"
"3","5","true","false","90","0.003845044698644622"
"6","5","true","false","114","0.004037296933576853"
"1","5","true","false","97","0.01336153032779006"
